Output Data: 
StormID : AL011851  	Storm Name :                	Date range is : 18510625 - 18510628 	Highest Maximum Knots are : 80  	Date :          	Time of Landfall are :1  
StormID : AL081853  	Storm Name :                	Date range is : 18531019 - 18531022 	Highest Maximum Knots are : 90  	Date :          	Time of Landfall are :0  
StormID : AL011854  	Storm Name :                	Date range is : 18540625 - 18540627 	Highest Maximum Knots are : 70  	Date :          	Time of Landfall are :1  
StormID : AL021854  	Storm Name :                	Date range is : 18540823 - 18540823 	Highest Maximum Knots are : 60  	Date :18540823  	Time of Landfall are :0  
StormID : AL031854  	Storm Name :                	Date range is : 18540907 - 18540912 	Highest Maximum Knots are : 110 	Date :          	Time of Landfall are :1  
StormID : AL041854  	Storm Name :                	Date range is : 18540918 - 18540920 	Highest Maximum Knots are : 90  	Date :          	Time of Landfall are :1  
StormID : AL051854  	Storm Name :                	Date range is : 18541020 - 18541022 	Highest Maximum Knots are : 60  	Date :          	Time of Landfall are :0  
StormID : AL011855  	Storm Name :                	Date range is : 18550806 - 18550806 	Highest Maximum Knots are : 90  	Date :18550806  	Time of Landfall are :0  
StormID : AL021855  	Storm Name :                	Date range is : 18550810 - 18550811 	Highest Maximum Knots are : 90  	Date :          	Time of Landfall are :0  
StormID : AL031855  	Storm Name :                	Date range is : 18550811 - 18550811 	Highest Maximum Knots are : 70  	Date :18550811  	Time of Landfall are :0  
StormID : AL041855  	Storm Name :                	Date range is : 18550824 - 18550827 	Highest Maximum Knots are : 60  	Date :          	Time of Landfall are :0  
StormID : AL051855  	Storm Name :                	Date range is : 18550915 - 18550917 	Highest Maximum Knots are : 110 	Date :          	Time of Landfall are :1  
StormID : AL011856  	Storm Name :                	Date range is : 18560809 - 18560812 	Highest Maximum Knots are : 130 	Date :          	Time of Landfall are :1  
StormID : AL021856  	Storm Name :                	Date range is : 18560813 - 18560814 	Highest Maximum Knots are : 70  	Date :          	Time of Landfall are :0  
StormID : AL031856  	Storm Name :                	Date range is : 18560819 - 18560821 	Highest Maximum Knots are : 50  	Date :          	Time of Landfall are :1  
StormID : AL041856  	Storm Name :                	Date range is : 18560821 - 18560821 	Highest Maximum Knots are : 50  	Date :18560821  	Time of Landfall are :0  
StormID : AL051856  	Storm Name :                	Date range is : 18560825 - 18560903 	Highest Maximum Knots are : 100 	Date :          	Time of Landfall are :1  
StormID : AL061856  	Storm Name :                	Date range is : 18560918 - 18560922 	Highest Maximum Knots are : 70  	Date :          	Time of Landfall are :0  
StormID : AL011857  	Storm Name :                	Date range is : 18570630 - 18570701 	Highest Maximum Knots are : 50  	Date :          	Time of Landfall are :0  
StormID : AL021857  	Storm Name :                	Date range is : 18570906 - 18570918 	Highest Maximum Knots are : 90  	Date :          	Time of Landfall are :1  
StormID : AL031857  	Storm Name :                	Date range is : 18570922 - 18570926 	Highest Maximum Knots are : 70  	Date :          	Time of Landfall are :0  
StormID : AL041857  	Storm Name :                	Date range is : 18570924 - 18570930 	Highest Maximum Knots are : 90  	Date :          	Time of Landfall are :1  
StormID : AL011858  	Storm Name :                	Date range is : 18580612 - 18580612 	Highest Maximum Knots are : 70  	Date :18580612  	Time of Landfall are :0  
StormID : AL021858  	Storm Name :                	Date range is : 18580805 - 18580805 	Highest Maximum Knots are : 70  	Date :18580805  	Time of Landfall are :0  
StormID : AL031858  	Storm Name :                	Date range is : 18580914 - 18580917 	Highest Maximum Knots are : 90  	Date :          	Time of Landfall are :3  
StormID : AL041858  	Storm Name :                	Date range is : 18580917 - 18580924 	Highest Maximum Knots are : 80  	Date :          	Time of Landfall are :0  
StormID : AL051858  	Storm Name :                	Date range is : 18580922 - 18580925 	Highest Maximum Knots are : 80  	Date :          	Time of Landfall are :0  
StormID : AL061858  	Storm Name :                	Date range is : 18581021 - 18581026 	Highest Maximum Knots are : 90  	Date :          	Time of Landfall are :0  
StormID : AL011859  	Storm Name :                	Date range is : 18590701 - 18590701 	Highest Maximum Knots are : 90  	Date :18590701  	Time of Landfall are :0  
StormID : AL021859  	Storm Name :                	Date range is : 18590817 - 18590819 	Highest Maximum Knots are : 90  	Date :          	Time of Landfall are :0  
StormID : AL031859  	Storm Name :                	Date range is : 18590902 - 18590903 	Highest Maximum Knots are : 70  	Date :          	Time of Landfall are :0  
StormID : AL041859  	Storm Name :                	Date range is : 18590912 - 18590913 	Highest Maximum Knots are : 90  	Date :          	Time of Landfall are :0  
StormID : AL051859  	Storm Name :                	Date range is : 18590915 - 18590918 	Highest Maximum Knots are : 70  	Date :          	Time of Landfall are :1  
StormID : AL061859  	Storm Name :                	Date range is : 18591002 - 18591006 	Highest Maximum Knots are : 110 	Date :          	Time of Landfall are :0  
StormID : AL071859  	Storm Name :                	Date range is : 18591016 - 18591018 	Highest Maximum Knots are : 60  	Date :          	Time of Landfall are :1  
StormID : AL081859  	Storm Name :                	Date range is : 18591024 - 18591029 	Highest Maximum Knots are : 80  	Date :          	Time of Landfall are :1  
StormID : AL011860  	Storm Name :                	Date range is : 18600808 - 18600816 	Highest Maximum Knots are : 110 	Date :          	Time of Landfall are :1  
StormID : AL021860  	Storm Name :                	Date range is : 18600824 - 18600826 	Highest Maximum Knots are : 90  	Date :          	Time of Landfall are :0  
StormID : AL041860  	Storm Name :                	Date range is : 18600911 - 18600916 	Highest Maximum Knots are : 90  	Date :          	Time of Landfall are :1  
StormID : AL031860  	Storm Name :                	Date range is : 18600911 - 18600911 	Highest Maximum Knots are : 70  	Date :18600911  	Time of Landfall are :0  
StormID : AL051860  	Storm Name :                	Date range is : 18600918 - 18600921 	Highest Maximum Knots are : 60  	Date :          	Time of Landfall are :0  
StormID : AL061860  	Storm Name :                	Date range is : 18600930 - 18601003 	Highest Maximum Knots are : 90  	Date :          	Time of Landfall are :1  
StormID : AL071860  	Storm Name :                	Date range is : 18601020 - 18601024 	Highest Maximum Knots are : 90  	Date :          	Time of Landfall are :0  
StormID : AL011861  	Storm Name :                	Date range is : 18610706 - 18610712 	Highest Maximum Knots are : 90  	Date :          	Time of Landfall are :0  
StormID : AL021861  	Storm Name :                	Date range is : 18610813 - 18610817 	Highest Maximum Knots are : 80  	Date :          	Time of Landfall are :0  
StormID : AL031861  	Storm Name :                	Date range is : 18610825 - 18610830 	Highest Maximum Knots are : 90  	Date :          	Time of Landfall are :0  
StormID : AL041861  	Storm Name :                	Date range is : 18610917 - 18610917 	Highest Maximum Knots are : 70  	Date :18610917  	Time of Landfall are :0  
StormID : AL051861  	Storm Name :                	Date range is : 18610927 - 18610928 	Highest Maximum Knots are : 70  	Date :          	Time of Landfall are :1  
StormID : AL061861  	Storm Name :                	Date range is : 18611006 - 18611009 	Highest Maximum Knots are : 60  	Date :          	Time of Landfall are :0  
StormID : AL071861  	Storm Name :                	Date range is : 18611007 - 18611007 	Highest Maximum Knots are : 50  	Date :18611007  	Time of Landfall are :1  
StormID : AL081861  	Storm Name :                	Date range is : 18611101 - 18611103 	Highest Maximum Knots are : 70  	Date :          	Time of Landfall are :4  
StormID : AL011862  	Storm Name :                	Date range is : 18620615 - 18620617 	Highest Maximum Knots are : 50  	Date :          	Time of Landfall are :0  
StormID : AL021862  	Storm Name :                	Date range is : 18620818 - 18620821 	Highest Maximum Knots are : 90  	Date :          	Time of Landfall are :0  
StormID : AL031862  	Storm Name :                	Date range is : 18620912 - 18620920 	Highest Maximum Knots are : 90  	Date :          	Time of Landfall are :0  
StormID : AL041862  	Storm Name :                	Date range is : 18621006 - 18621006 	Highest Maximum Knots are : 50  	Date :18621006  	Time of Landfall are :0  
StormID : AL051862  	Storm Name :                	Date range is : 18621014 - 18621017 	Highest Maximum Knots are : 70  	Date :          	Time of Landfall are :0  
StormID : AL061862  	Storm Name :                	Date range is : 18621122 - 18621125 	Highest Maximum Knots are : 60  	Date :          	Time of Landfall are :0  
StormID : AL011863  	Storm Name :                	Date range is : 18630808 - 18630809 	Highest Maximum Knots are : 90  	Date :          	Time of Landfall are :0  
StormID : AL021863  	Storm Name :                	Date range is : 18630818 - 18630819 	Highest Maximum Knots are : 90  	Date :          	Time of Landfall are :0  
StormID : AL031863  	Storm Name :                	Date range is : 18630819 - 18630823 	Highest Maximum Knots are : 90  	Date :          	Time of Landfall are :0  
StormID : AL041863  	Storm Name :                	Date range is : 18630827 - 18630828 	Highest Maximum Knots are : 90  	Date :          	Time of Landfall are :0  
StormID : AL051863  	Storm Name :                	Date range is : 18630909 - 18630916 	Highest Maximum Knots are : 70  	Date :          	Time of Landfall are :0  
StormID : AL061863  	Storm Name :                	Date range is : 18630916 - 18630919 	Highest Maximum Knots are : 60  	Date :          	Time of Landfall are :1  
StormID : AL071863  	Storm Name :                	Date range is : 18630918 - 18630919 	Highest Maximum Knots are : 50  	Date :          	Time of Landfall are :0  
StormID : AL081863  	Storm Name :                	Date range is : 18630926 - 18630927 	Highest Maximum Knots are : 50  	Date :          	Time of Landfall are :0  
StormID : AL091863  	Storm Name :                	Date range is : 18630929 - 18631001 	Highest Maximum Knots are : 60  	Date :          	Time of Landfall are :1  
StormID : AL011864  	Storm Name :                	Date range is : 18640716 - 18640718 	Highest Maximum Knots are : 70  	Date :          	Time of Landfall are :0  
StormID : AL021864  	Storm Name :                	Date range is : 18640725 - 18640725 	Highest Maximum Knots are : 60  	Date :18640725  	Time of Landfall are :0  
StormID : AL031864  	Storm Name :                	Date range is : 18640826 - 18640901 	Highest Maximum Knots are : 70  	Date :          	Time of Landfall are :0  
StormID : AL041864  	Storm Name :                	Date range is : 18640905 - 18640908 	Highest Maximum Knots are : 50  	Date :          	Time of Landfall are :0  
StormID : AL051864  	Storm Name :                	Date range is : 18641022 - 18641024 	Highest Maximum Knots are : 70  	Date :          	Time of Landfall are :0  
StormID : AL011865  	Storm Name :                	Date range is : 18650530 - 18650530 	Highest Maximum Knots are : 50  	Date :18650530  	Time of Landfall are :0  
StormID : AL021865  	Storm Name :                	Date range is : 18650630 - 18650630 	Highest Maximum Knots are : 50  	Date :18650630  	Time of Landfall are :1  
StormID : AL031865  	Storm Name :                	Date range is : 18650820 - 18650824 	Highest Maximum Knots are : 60  	Date :          	Time of Landfall are :0  
StormID : AL041865  	Storm Name :                	Date range is : 18650906 - 18650914 	Highest Maximum Knots are : 90  	Date :          	Time of Landfall are :1  
StormID : AL051865  	Storm Name :                	Date range is : 18650907 - 18650907 	Highest Maximum Knots are : 60  	Date :18650907  	Time of Landfall are :1  
StormID : AL061865  	Storm Name :                	Date range is : 18650928 - 18650928 	Highest Maximum Knots are : 70  	Date :18650928  	Time of Landfall are :0  
StormID : AL071865  	Storm Name :                	Date range is : 18651018 - 18651025 	Highest Maximum Knots are : 90  	Date :          	Time of Landfall are :2  
StormID : AL011866  	Storm Name :                	Date range is : 18660711 - 18660716 	Highest Maximum Knots are : 90  	Date :          	Time of Landfall are :1  
StormID : AL021866  	Storm Name :                	Date range is : 18660813 - 18660818 	Highest Maximum Knots are : 90  	Date :          	Time of Landfall are :0  
StormID : AL031866  	Storm Name :                	Date range is : 18660904 - 18660907 	Highest Maximum Knots are : 70  	Date :          	Time of Landfall are :0  
StormID : AL041866  	Storm Name :                	Date range is : 18660918 - 18660918 	Highest Maximum Knots are : 70  	Date :18660918  	Time of Landfall are :0  
StormID : AL051866  	Storm Name :                	Date range is : 18660922 - 18660924 	Highest Maximum Knots are : 90  	Date :          	Time of Landfall are :0  
StormID : AL061866  	Storm Name :                	Date range is : 18660924 - 18661005 	Highest Maximum Knots are : 120 	Date :          	Time of Landfall are :0  
StormID : AL071866  	Storm Name :                	Date range is : 18661029 - 18661030 	Highest Maximum Knots are : 60  	Date :          	Time of Landfall are :0  
StormID : AL011867  	Storm Name :                	Date range is : 18670621 - 18670623 	Highest Maximum Knots are : 70  	Date :          	Time of Landfall are :1  
StormID : AL021867  	Storm Name :                	Date range is : 18670728 - 18670803 	Highest Maximum Knots are : 90  	Date :          	Time of Landfall are :0  
StormID : AL031867  	Storm Name :                	Date range is : 18670802 - 18670802 	Highest Maximum Knots are : 90  	Date :18670802  	Time of Landfall are :0  
StormID : AL041867  	Storm Name :                	Date range is : 18670831 - 18670903 	Highest Maximum Knots are : 70  	Date :          	Time of Landfall are :0  
StormID : AL051867  	Storm Name :                	Date range is : 18670908 - 18670908 	Highest Maximum Knots are : 50  	Date :18670908  	Time of Landfall are :0  
StormID : AL061867  	Storm Name :                	Date range is : 18670929 - 18671001 	Highest Maximum Knots are : 90  	Date :          	Time of Landfall are :0  
StormID : AL071867  	Storm Name :                	Date range is : 18671002 - 18671009 	Highest Maximum Knots are : 90  	Date :          	Time of Landfall are :2  
StormID : AL081867  	Storm Name :                	Date range is : 18671009 - 18671009 	Highest Maximum Knots are : 40  	Date :18671009  	Time of Landfall are :0  
StormID : AL091867  	Storm Name :                	Date range is : 18671027 - 18671031 	Highest Maximum Knots are : 110 	Date :          	Time of Landfall are :0  
StormID : AL011868  	Storm Name :                	Date range is : 18680903 - 18680907 	Highest Maximum Knots are : 90  	Date :          	Time of Landfall are :0  
StormID : AL021868  	Storm Name :                	Date range is : 18681001 - 18681007 	Highest Maximum Knots are : 70  	Date :          	Time of Landfall are :1  
StormID : AL031868  	Storm Name :                	Date range is : 18681005 - 18681007 	Highest Maximum Knots are : 90  	Date :          	Time of Landfall are :0  
StormID : AL041868  	Storm Name :                	Date range is : 18681015 - 18681017 	Highest Maximum Knots are : 90  	Date :          	Time of Landfall are :0  
StormID : AL011869  	Storm Name :                	Date range is : 18690812 - 18690812 	Highest Maximum Knots are : 90  	Date :          	Time of Landfall are :0  
StormID : AL021869  	Storm Name :                	Date range is : 18690816 - 18690817 	Highest Maximum Knots are : 90  	Date :          	Time of Landfall are :1  
StormID : AL031869  	Storm Name :                	Date range is : 18690827 - 18690827 	Highest Maximum Knots are : 70  	Date :          	Time of Landfall are :0  
StormID : AL041869  	Storm Name :                	Date range is : 18690901 - 18690902 	Highest Maximum Knots are : 60  	Date :          	Time of Landfall are :0  
StormID : AL051869  	Storm Name :                	Date range is : 18690904 - 18690906 	Highest Maximum Knots are : 70  	Date :          	Time of Landfall are :1  
StormID : AL061869  	Storm Name :                	Date range is : 18690907 - 18690909 	Highest Maximum Knots are : 100 	Date :          	Time of Landfall are :2  
StormID : AL071869  	Storm Name :                	Date range is : 18690911 - 18690918 	Highest Maximum Knots are : 90  	Date :          	Time of Landfall are :0  
StormID : AL081869  	Storm Name :                	Date range is : 18690914 - 18690914 	Highest Maximum Knots are : 60  	Date :18690914  	Time of Landfall are :0  
StormID : AL091869  	Storm Name :                	Date range is : 18691001 - 18691001 	Highest Maximum Knots are : 50  	Date :18691001  	Time of Landfall are :0  
StormID : AL101869  	Storm Name :                	Date range is : 18691004 - 18691005 	Highest Maximum Knots are : 90  	Date :          	Time of Landfall are :3  
StormID : AL011870  	Storm Name :                	Date range is : 18700730 - 18700730 	Highest Maximum Knots are : 70  	Date :18700730  	Time of Landfall are :0  
StormID : AL021870  	Storm Name :                	Date range is : 18700830 - 18700904 	Highest Maximum Knots are : 90  	Date :          	Time of Landfall are :0  
StormID : AL031870  	Storm Name :                	Date range is : 18700901 - 18700904 	Highest Maximum Knots are : 60  	Date :          	Time of Landfall are :0  
StormID : AL041870  	Storm Name :                	Date range is : 18700909 - 18700913 	Highest Maximum Knots are : 110 	Date :          	Time of Landfall are :0  
StormID : AL051870  	Storm Name :                	Date range is : 18700917 - 18700920 	Highest Maximum Knots are : 80  	Date :          	Time of Landfall are :0  
StormID : AL061870  	Storm Name :                	Date range is : 18701005 - 18701014 	Highest Maximum Knots are : 100 	Date :          	Time of Landfall are :0  
StormID : AL071870  	Storm Name :                	Date range is : 18701007 - 18701007 	Highest Maximum Knots are : 70  	Date :18701007  	Time of Landfall are :0  
StormID : AL081870  	Storm Name :                	Date range is : 18701010 - 18701011 	Highest Maximum Knots are : 70  	Date :          	Time of Landfall are :0  
StormID : AL091870  	Storm Name :                	Date range is : 18701019 - 18701022 	Highest Maximum Knots are : 90  	Date :          	Time of Landfall are :2  
StormID : AL101870  	Storm Name :                	Date range is : 18701023 - 18701023 	Highest Maximum Knots are : 90  	Date :18701023  	Time of Landfall are :0  
StormID : AL111870  	Storm Name :                	Date range is : 18701030 - 18701103 	Highest Maximum Knots are : 70  	Date :          	Time of Landfall are :0  
StormID : AL011871  	Storm Name :                	Date range is : 18710601 - 18710605 	Highest Maximum Knots are : 50  	Date :          	Time of Landfall are :1  
StormID : AL021871  	Storm Name :                	Date range is : 18710608 - 18710610 	Highest Maximum Knots are : 50  	Date :          	Time of Landfall are :1  
StormID : AL031871  	Storm Name :                	Date range is : 18710814 - 18710823 	Highest Maximum Knots are : 100 	Date :          	Time of Landfall are :2  
StormID : AL041871  	Storm Name :                	Date range is : 18710817 - 18710830 	Highest Maximum Knots are : 100 	Date :          	Time of Landfall are :1  
StormID : AL051871  	Storm Name :                	Date range is : 18710830 - 18710902 	Highest Maximum Knots are : 90  	Date :          	Time of Landfall are :0  
StormID : AL061871  	Storm Name :                	Date range is : 18710905 - 18710908 	Highest Maximum Knots are : 70  	Date :          	Time of Landfall are :1  
StormID : AL071871  	Storm Name :                	Date range is : 18710930 - 18711007 	Highest Maximum Knots are : 70  	Date :          	Time of Landfall are :1  
StormID : AL081871  	Storm Name :                	Date range is : 18711010 - 18711013 	Highest Maximum Knots are : 70  	Date :          	Time of Landfall are :0  
StormID : AL011872  	Storm Name :                	Date range is : 18720709 - 18720713 	Highest Maximum Knots are : 50  	Date :          	Time of Landfall are :2  
StormID : AL021872  	Storm Name :                	Date range is : 18720820 - 18720902 	Highest Maximum Knots are : 90  	Date :          	Time of Landfall are :0  
StormID : AL031872  	Storm Name :                	Date range is : 18720909 - 18720920 	Highest Maximum Knots are : 70  	Date :          	Time of Landfall are :0  
StormID : AL041872  	Storm Name :                	Date range is : 18720930 - 18721006 	Highest Maximum Knots are : 70  	Date :          	Time of Landfall are :0  
StormID : AL051872  	Storm Name :                	Date range is : 18721022 - 18721028 	Highest Maximum Knots are : 70  	Date :          	Time of Landfall are :2  
StormID : AL011873  	Storm Name :                	Date range is : 18730601 - 18730602 	Highest Maximum Knots are : 40  	Date :          	Time of Landfall are :1  
StormID : AL021873  	Storm Name :                	Date range is : 18730813 - 18730828 	Highest Maximum Knots are : 100 	Date :          	Time of Landfall are :0  
StormID : AL031873  	Storm Name :                	Date range is : 18730918 - 18730920 	Highest Maximum Knots are : 70  	Date :          	Time of Landfall are :1  
StormID : AL041873  	Storm Name :                	Date range is : 18730922 - 18730924 	Highest Maximum Knots are : 50  	Date :          	Time of Landfall are :1  
StormID : AL051873  	Storm Name :                	Date range is : 18730926 - 18731010 	Highest Maximum Knots are : 100 	Date :          	Time of Landfall are :1  
StormID : AL011874  	Storm Name :                	Date range is : 18740702 - 18740705 	Highest Maximum Knots are : 50  	Date :          	Time of Landfall are :1  
StormID : AL021874  	Storm Name :                	Date range is : 18740803 - 18740807 	Highest Maximum Knots are : 70  	Date :          	Time of Landfall are :0  
StormID : AL031874  	Storm Name :                	Date range is : 18740829 - 18740908 	Highest Maximum Knots are : 80  	Date :          	Time of Landfall are :0  
StormID : AL041874  	Storm Name :                	Date range is : 18740902 - 18740907 	Highest Maximum Knots are : 50  	Date :          	Time of Landfall are :0  
StormID : AL051874  	Storm Name :                	Date range is : 18740908 - 18740911 	Highest Maximum Knots are : 50  	Date :          	Time of Landfall are :0  
StormID : AL061874  	Storm Name :                	Date range is : 18740925 - 18741001 	Highest Maximum Knots are : 80  	Date :          	Time of Landfall are :2  
StormID : AL071874  	Storm Name :                	Date range is : 18741031 - 18741104 	Highest Maximum Knots are : 90  	Date :          	Time of Landfall are :0  
StormID : AL011875  	Storm Name :                	Date range is : 18750816 - 18750819 	Highest Maximum Knots are : 70  	Date :          	Time of Landfall are :0  
StormID : AL021875  	Storm Name :                	Date range is : 18750901 - 18750910 	Highest Maximum Knots are : 70  	Date :          	Time of Landfall are :0  
StormID : AL031875  	Storm Name :                	Date range is : 18750908 - 18750918 	Highest Maximum Knots are : 100 	Date :          	Time of Landfall are :1  
StormID : AL041875  	Storm Name :                	Date range is : 18750924 - 18750928 	Highest Maximum Knots are : 50  	Date :          	Time of Landfall are :1  
StormID : AL051875  	Storm Name :                	Date range is : 18751007 - 18751010 	Highest Maximum Knots are : 90  	Date :          	Time of Landfall are :0  
StormID : AL061875  	Storm Name :                	Date range is : 18751012 - 18751016 	Highest Maximum Knots are : 70  	Date :          	Time of Landfall are :0  
StormID : AL011876  	Storm Name :                	Date range is : 18760909 - 18760911 	Highest Maximum Knots are : 80  	Date :          	Time of Landfall are :0  
StormID : AL021876  	Storm Name :                	Date range is : 18760912 - 18760919 	Highest Maximum Knots are : 100 	Date :          	Time of Landfall are :1  
StormID : AL031876  	Storm Name :                	Date range is : 18760916 - 18760918 	Highest Maximum Knots are : 50  	Date :          	Time of Landfall are :0  
StormID : AL041876  	Storm Name :                	Date range is : 18760929 - 18761005 	Highest Maximum Knots are : 90  	Date :          	Time of Landfall are :0  
StormID : AL051876  	Storm Name :                	Date range is : 18761012 - 18761023 	Highest Maximum Knots are : 100 	Date :          	Time of Landfall are :1  
StormID : AL011877  	Storm Name :                	Date range is : 18770801 - 18770805 	Highest Maximum Knots are : 60  	Date :          	Time of Landfall are :0  
StormID : AL021877  	Storm Name :                	Date range is : 18770914 - 18770921 	Highest Maximum Knots are : 70  	Date :          	Time of Landfall are :2  
StormID : AL031877  	Storm Name :                	Date range is : 18770916 - 18770922 	Highest Maximum Knots are : 70  	Date :          	Time of Landfall are :0  
StormID : AL041877  	Storm Name :                	Date range is : 18770921 - 18771005 	Highest Maximum Knots are : 100 	Date :          	Time of Landfall are :1  
StormID : AL051877  	Storm Name :                	Date range is : 18770924 - 18770929 	Highest Maximum Knots are : 50  	Date :          	Time of Landfall are :0  
StormID : AL061877  	Storm Name :                	Date range is : 18771013 - 18771018 	Highest Maximum Knots are : 50  	Date :          	Time of Landfall are :0  
StormID : AL071877  	Storm Name :                	Date range is : 18771024 - 18771028 	Highest Maximum Knots are : 50  	Date :          	Time of Landfall are :1  
StormID : AL081877  	Storm Name :                	Date range is : 18771128 - 18771130 	Highest Maximum Knots are : 50  	Date :          	Time of Landfall are :0  
StormID : AL011878  	Storm Name :                	Date range is : 18780701 - 18780703 	Highest Maximum Knots are : 40  	Date :          	Time of Landfall are :1  
StormID : AL021878  	Storm Name :                	Date range is : 18780808 - 18780819 	Highest Maximum Knots are : 70  	Date :          	Time of Landfall are :0  
StormID : AL031878  	Storm Name :                	Date range is : 18780819 - 18780821 	Highest Maximum Knots are : 80  	Date :          	Time of Landfall are :0  
StormID : AL041878  	Storm Name :                	Date range is : 18780825 - 18780830 	Highest Maximum Knots are : 90  	Date :          	Time of Landfall are :0  
StormID : AL051878  	Storm Name :                	Date range is : 18780901 - 18780913 	Highest Maximum Knots are : 90  	Date :          	Time of Landfall are :4  
StormID : AL061878  	Storm Name :                	Date range is : 18780912 - 18780918 	Highest Maximum Knots are : 90  	Date :          	Time of Landfall are :0  
StormID : AL071878  	Storm Name :                	Date range is : 18780924 - 18781008 	Highest Maximum Knots are : 120 	Date :          	Time of Landfall are :0  
StormID : AL081878  	Storm Name :                	Date range is : 18781009 - 18781015 	Highest Maximum Knots are : 70  	Date :          	Time of Landfall are :1  
StormID : AL091878  	Storm Name :                	Date range is : 18781009 - 18781016 	Highest Maximum Knots are : 70  	Date :          	Time of Landfall are :0  
StormID : AL101878  	Storm Name :                	Date range is : 18781013 - 18781019 	Highest Maximum Knots are : 100 	Date :          	Time of Landfall are :0  
StormID : AL111878  	Storm Name :                	Date range is : 18781018 - 18781025 	Highest Maximum Knots are : 90  	Date :          	Time of Landfall are :1  
StormID : AL121878  	Storm Name :                	Date range is : 18781125 - 18781202 	Highest Maximum Knots are : 60  	Date :          	Time of Landfall are :0  
StormID : AL011879  	Storm Name :                	Date range is : 18790809 - 18790812 	Highest Maximum Knots are : 70  	Date :          	Time of Landfall are :0  
StormID : AL021879  	Storm Name :                	Date range is : 18790813 - 18790820 	Highest Maximum Knots are : 100 	Date :          	Time of Landfall are :2  
StormID : AL031879  	Storm Name :                	Date range is : 18790819 - 18790824 	Highest Maximum Knots are : 90  	Date :          	Time of Landfall are :1  
StormID : AL041879  	Storm Name :                	Date range is : 18790829 - 18790902 	Highest Maximum Knots are : 110 	Date :          	Time of Landfall are :1  
StormID : AL051879  	Storm Name :                	Date range is : 18791003 - 18791007 	Highest Maximum Knots are : 50  	Date :          	Time of Landfall are :1  
StormID : AL061879  	Storm Name :                	Date range is : 18791009 - 18791016 	Highest Maximum Knots are : 50  	Date :          	Time of Landfall are :1  
StormID : AL071879  	Storm Name :                	Date range is : 18791024 - 18791029 	Highest Maximum Knots are : 70  	Date :          	Time of Landfall are :1  
StormID : AL081879  	Storm Name :                	Date range is : 18791118 - 18791121 	Highest Maximum Knots are : 90  	Date :          	Time of Landfall are :0  
StormID : AL011880  	Storm Name :                	Date range is : 18800621 - 18800625 	Highest Maximum Knots are : 40  	Date :          	Time of Landfall are :1  
StormID : AL021880  	Storm Name :                	Date range is : 18800804 - 18800814 	Highest Maximum Knots are : 130 	Date :          	Time of Landfall are :1  
StormID : AL031880  	Storm Name :                	Date range is : 18800815 - 18800820 	Highest Maximum Knots are : 80  	Date :          	Time of Landfall are :0  
